,Name,Explanation,Action,Commonly known as,Abbrevations,See also,
,Diphtheria,"Diphtheria is an upper respiratory tract illness caused by Corynebacterium diphtheriae, an anaerobic, Gram-positive bacterium. It is characterized by sore throat, low fever, and an adherent membrane on the tonsils, pharynx, and/or nasal cavity.
It is considered a highly infectious disease spread by direct physical contact or breathing the aerosolized secretions of infected individuals.
","Accept, if the clinician caring for the potential donor thinks that therapy given for an infection has successfully cleared it.",,,Infection – Acute,
,Diphtheria Immunisation,,Accept,,,Immunisation – Non-live,
,Diptheria Tetanus Immunisation,,Accept,,,Immunisation – Non-live,
,Diptheria Tetanus Pertussis Immunisation:,,Accept,,,Immunisation – Non-live,
,Disease of Unknown Aetiology,"When the cause of an illness is not clear, there is an unknown risk to any recipient",Must not donate,,,,
,Diverticulosis,,Accept,,,Infection – General,
,Down Syndrome,"Eye disorders are common in people with DS. Almost half have strabismus. Refractive errors requiring glasses or contacts are also common. Cataracts (opacity of the lens), keratoconus (thin, cone-shaped corneas), and glaucoma (increased eye pressures) are common",Do not donate,,,,
,Drowning,"Need to determine a likelihood of damage to the corneas due to immersion in water. Type of water (fresh, stagnant, sea-water, chlorinated) and length of time immersed need to be considered",Refer to the Medical Director,,,,
,Drug Abuse,,,,,Addiction and Drug Abuse,
,Drug Treatment,"The taking of some drugs may make a donor ineligible. This could be due to the underlying disease or to the medication. However for eyes this is unlikely.
Self-medication with some drugs e.g. vitamins, over the counter analgesics need not prevent a donation being accepted
",,,,Addiction and Drug Abuse,
,Dry Eye Syndrome,,,,,Keratoconjunctivitis Sicca,
,DTP Immunisation (Triple Antigen),,,,,Immunisation – Non-live,
,Duodenal Ulcer,,,,,Gastric Ulcer,
,Dutasteride (Avodart),"Dutasteride is used for the symptoms of benign prostatic hyperplasia (BPH); colloquially known as an ""enlarged prostate"".
The FDA has added a warning to dutasteride about an increased risk of high-grade prostate cancer. Evidence has suggested it could mask the early detection of prostate cancer.
Precaution for organ and tissue is warranted as residual amounts (especially in the blood) can cause birth defects.
",Accept for corneas only not for sclera,,,,
,Ear Piercing,,,,,Body Piercing,
,Ebola Fever,"Ebola virus disease (EVD) or Ebola haemorrhagic fever (EHF) is the human disease which may be caused by any of four of the five known ebola viruses. EVD is a viral haemorrhagic fever (VHF), and is clinically nearly indistinguishable from Marburg virus disease (MVD).
Prognosis is generally poor (average case-fatality rate of all EVD outbreaks to date = 68%). If a patient survives, recovery may be prompt and complete, or protracted with sequelae, such as orchitis, arthralgia, myalgia, desquamation or alopecia. Ocular manifestations, such as photophobia, hyperlacrimation, iritis, iridocyclitis, choroiditis and blindness have also been described.
Outbreaks of EVD have mainly been restricted to Africa. The virus often consumes the population. EVD is believed to occur after an ebolavirus is transmitted to a human case via contact with an infected animal host. Human-to-human transmission occurs via direct contact with blood or bodily fluids from an infected person (including embalming of a deceased victim) or by contact with contaminated medical equipment such as needles. There is a higher concentration of EVD in the blood, organs and tissues during the immediate death or recovery phase as the body excretes live and infective viruses. A person can remain infectious for up to 7 weeks.
Bats are considered the most likely candidate as a natural reservoir of the disease.
","Must not donate if less than 12 months following recovery
a) Asymptomatic travellers or residents returning from an EVD affected area should be deferred from donation for six month after return, provided they have reported no EVD symptoms (eg. undiagnosed febrile illness)
b) Anyone with a confirmed EVD exposure (eg. contact with an infected person), cannot donate within six months of exposure or if being monitored for exposure, within six months of the commencement of the monitoring period
","Ebola, v iral haemorrhagic fever","EVD, EHF, VHF",EVD: Ebola virus disease; MVD: Marburg virus disease,
,Eczema,,,,,Dermatitis,
,Ehlers-Danlos Syndrome,"Ehlers–Danlos syndrome (EDS) is an inherited connective tissue disorder with different presentations. It is caused by a defect in the synthesis of collagen. Depending on the individual, the severity of the mutation can vary from mild to life-threatening. On concern with any form of donation is that the structural integrity of the tissue is likely to be compromised.",Must not donate,,,,
,Electrolysis,,Accept,,,,
,Elliptocytosis,,,,,Hereditary Elliptocytosis,
,Emphysema,,Accept,,,,
,Encephalitis,,Accept If caused by bacterial infection and the corneas are to be stored by organ culture,,,Infection – General,
,Endocarditis,,"a) Accept If infection resolved.
b) Accept If the cause is bacterial and the corneas are to be stored by organ culture.
",,,Infection – General,
,Epilepsy,,"Must not donate if
a) Recent onset and not fully investigated
b) Secondary to degenerative neurological disease
Accept all other cases
",,,,
,Episcleritis,"Episcleritis is a benign, self-limiting inflammatory disease affecting the episclera (thin layer of tissue that lies between the conjunctiva and sclera). Symptoms of include mild eye pain, redness, and watery eyes. Discharge is absent and vision is unaffected.  It does not cause the presence of cells or flare in the anterior chamber of the eye.
Most of the time, episcleritis is idiopathic. Several diseases are associated with episcleritis, including systemic vasculitic diseases (polyarteritis nodosa, Wegener's granulomatosis), connective tissue diseases, rosacea, atopy, gout, and ulcerative colitis.
",Must not donate if active,,,Inflammatory Eye Disease,
,"Extended-Spectrum Beta-lactamase (ESBL)

",,,,,Multi Resistant Organisms,
,Eye Disease,,"Must not donate if:
a) Active ocular inflammation or infection
b) Congenital or acquired ocular disorders or previous ocular surgery that may preclude a successful transplant outcome
c) History of malignant tumours of the anterior segment or retinoblastoma
Accept:
a) Laser refractive surgery to the cornea but not for penetrating or anterior keratoplasty
b) If laser surgery to the retina or lens capsule
c) If cataract surgery
d) If glaucoma
e) If refractive error
f) If retinal disease
",,,"Autoimmune Disorders
Glaucoma
Immunosuppression
Infection – General
Laser Treatment (Surgery)
Malignancy
Ocular Surgery
Steroid Therapy
",
,Eye Drops,,Determine what the drops are being used to treat and then see if there is any relevant entry,,,"Autoimmune Disorders
Glaucoma
Infection – General
Steroid Therapy
",
,Fever,Includes Febrile episodes. A fever can be caused by many different conditions ranging from benign to potentially serious,If less than two weeks from an undiagnosed episode(s) – investigate further and refer to Medical Director,,,Infection – General,
,Filariasis,"Filariasis is a parasitic disease (usually an infectious tropical disease) that is caused by thread-like nematodes belonging to the superfamily Filarioidea, also known as ""filariae"". These are transmitted from host to host by blood-feeding arthropods, mainly black flies and mosquitoes.
The adult worms, which usually stay in one tissue, release early larval forms known as microfilariae into the host's bloodstream. These circulating microfilariae can be taken up with a blood meal by the arthropod vector; in the vector, they develop into infective larvae that can be transmitted to a new host.
",Must not donate,,,"Infection – Tropical
Onchocerciasis
River Blindness

",
,Finasteride (Proscar),"Finasteride (brand names Proscar and Propecia by Merck, among other generic names) is a synthetic drug for the treatment of benign prostatic hyperplasia (BPH) and male pattern baldness (MPB).
The FDA has added a warning to Finasteride about an increased risk of high-grade prostate cancer. Evidence has suggested it could mask the early detection of prostate cancer.
Precaution for organ and tissue is warranted as residual amounts (especially in the blood) can cause birth defects. Recommendation is not to accept if less than 4 weeks from completion of therapy.
",Discretionary Accept for corneas only not for sclera,,"BPH, MPB",,
,Fits,,,,,Epilepsy,
,Foreign Travel,,,,,Travel,
,Fungal Infection,,,,,Infection – General Antifungal therapy,
,G6PD Deficiency (Glucose-6-phosphate dehydrogenase deficiency):,"Glucose-6-phosphate dehydrogenase deficiency (G6PD) is an X-linked recessive hereditary disease characterized by abnormally low levels of glucose-6-phosphate dehydrogenase, a metabolic enzyme involved in the pentose phosphate pathway, especially important in red blood cell metabolism. G6PD deficiency is the most common human enzyme defect.  Individuals with the disease may exhibit non-immune haemolytic anaemia in response to a number of causes, most commonly infection or exposure to certain medications or fava beans",Accept,G6PD,,,
,Gall Bladder Disease,,Accept,Gall Stones,,Infection – General Malignancy,
,Gastrointestinal Disease,,Accept but see Crohn’s Disease and Ulcerative Colitis,,,"Crohn’s Disease
Malignancy
Ulcerative Colitis
",
,Gastric Ulcer,Includes Duodenal Ulcer and Erosions,"Accept. 
If associated with malignancy see Malignancy
",Stomach ulcer,,Duodenal Ulcer ,
,Genital Herpes Infection,,,,,Herpes – Genital,
,Genital Warts,"Genital warts (or condylomata acuminata, venereal warts, anal warts and anogenital warts) are symptoms of a highly contagious sexually transmitted disease caused by some types of human papillomavirus (HPV). It is spread through direct skin-to-skin contact, usually during oral, genital, or anal sex with an infected partner. Warts are the most easily recognized symptom of genital HPV infection. Although some types of HPV are known to cause cervical cancer and anal cancers, these are not the same types of HPV that cause genital warts.",Accept,,,Sexually Transmitted Diseases,
,German Measles,,,,,Rubella,
,Giardiasis,This is a local intestinal infection that does not affect donation,Accept,,,,
,Gilbert Syndrome,"Gilbert's syndrome, also called Gilbert–Meulengracht syndrome, is the most common hereditary cause of increased bilirubin. Mild jaundice may appear under conditions of exertion, stress, fasting, and infections, but the condition is otherwise usually asymptomatic and has no serious consequences",Accept,,,Jaundice,
,Glandular Fever,"Infectious mononucleosis (IM; also known as mono, glandular fever, Pfeiffer's disease, Filatov's disease, and sometimes colloquially as the kissing disease from its oral transmission) is an infectious, widespread viral disease caused by the Epstein–Barr virus (EBV), one type of herpes virus, against which over 90% of adults are likely to have acquired immunity by the age of 40. It is most common among adolescents and young adults.
Especially in adolescents and young adults, the disease is characterized by fever, sore throat and fatigue, along with several other possible signs and symptoms. It is generally a self-limiting disease, and little treatment is normally required
",Accept,"Mono, glandular fever, Pfeiffer's disease, Filatov's disease, kissing disease",EBV,Infection – Acute,
,Glasses (Spectacles),,Accept,,,"Refractive error
Laser Therapy
Refractive surgery
",
,"Glaucoma, Primary glaucoma and its variants","Glaucoma is a term describing a group of ocular disorders with multi-factorial aetiology united by a clinically characteristic intraocular pressure-associated optic neuropathy. Glaucoma can be roughly divided into two main categories, ""open-angle"" and ""closed-angle"" (or ""angle closure"") glaucoma. The angle refers to the area between the iris and cornea, through which fluid must flow to escape via the trabecular meshwork. Closed-angle glaucoma can appear suddenly and is often painful; visual loss can progress quickly, but the discomfort often leads patients to seek medical attention before permanent damage occurs. Open-angle, chronic glaucoma tends to progress at a slower rate and patients may not notice they have lost vision until the disease has progressed significantly","Accept 
Must not donate if:
a) Received a transplant of sclera during glaucoma surgery within the past 6 months if outside of Australia (or 4 months if HCV NAT performed)*
b) Ever received a transplant of sclera during glaucoma surgery in the United Kingdom
This is in accordance with TGA standards of deferment of donor who have received human tissue outside of Australia
",,,Tissue and Organ Recipients,
,Goitre,,,,,Thyroid Disease,
,Gonorrhoea,"Gonorrhea is a common human sexually transmitted infection caused by the bacterium Neisseria gonorrhoeae. The usual symptoms in men are burning with urination and penile discharge. Women, on the other hand, are asymptomatic half the time or have vaginal discharge and pelvic pain. In both men and women if gonorrhea is left untreated, it may spread locally causing epididymitis or pelvic inflammatory disease or throughout the body, affecting joints and heart valves",,,,Sexually Transmitted Diseases,
,Gout,,Accept,,,,
,Grand Mal,,,,,Epilepsy,
,Granuloma Inguinale,Granuloma inguinale is a bacterial disease caused by Klebsiella granulomatis characterized by ulcerative genital lesions. It is endemic in many less developed regions. The microorganism spreads from one host to another through contact with the open sores,Must not donate,,,,
,Grave’s Disease,,,,,Thyroid Disease,
,Growth Hormone,"Worldwide (and 5 cases within Australia) human pituitary-derived hormones have transmitted classical CJD. From 1963 to 1986 such hormones were administered in Australia and New Zealand until the practice was ceased in 1987. Since 1987 all growth and fertility hormones administered in Australia (but not necessarily overseas) have been exclusively recombinant-derived, and are acceptable for donation.
Recipients of human pituitary growth hormone are considered to be a high-risk for CJD transmission
","Must not donate if:
Has ever received human pituitary growth hormone
Accept, if treated exclusively with recombinant-derived growth hormone. (in Australia and New Zealand this will be since 1987)
",,,Prion Associated Diseases,
,Guillain-Barre Syndrome,"Guillain–Barré syndrome, sometimes Landry's paralysis or Guillain–Barré–Strohl syndrome, is an acute polyneuropathy, a disorder affecting the peripheral nervous system. Ascending paralysis, weakness beginning in the feet and hands and migrating towards the trunk, is the most typical symptom, and some subtypes cause change in sensation or pain, as well as dysfunction of the autonomic nervous system. It can cause life-threatening complications, in particular if the respiratory muscles are affected or if the autonomic nervous system is involved. The disease is usually triggered by an infection.
Guillain–Barré syndrome is rare, at one to two cases per 100,000 people annually, but is the most common cause of acute non-trauma-related paralysis.
Guillain–Barré syndrome is now considered to be due to an immune response to foreign antigens (such as infectious agents) that mis-targets host nerve tissues. The most described antecedent infection is the bacterium Campylobacter jejuni.  In addition, cytomegalovirus has a known association with GBS. In many cases, identification of a specific cause is impossible. Some cases may be triggered by the influenza virus.
Guillain–Barré, unlike disorders such as multiple sclerosis (MS) and Lou Gehrig's disease (ALS), is a peripheral nerve disorder and does not in general cause nerve damage to the brain or spinal cord
","Must not donate if:
a)        Less than 24 months from resolution
b)        There has been any recurrence of symptoms
c)        The doctor who managed the donor cannot confirm a typical monophasic Guillian-Barre syndrome that recovered completely within 12 months
", Landry's paralysis or Guillain–Barré–Strohl syndrome,,"If treated with immunoglobulin or plasma exchange:
Transfusion
",
,Haemotological Disease,Clonal disorders result from the proliferation of a single cell. Because they have the potential to become malignant they are treated in the same way as malignancy,"Must not donate if:
a)        Malignant
b)        Clonal disorder such as primary polycythaemia (rubra vera), essential thrombocythaemia and monoclonal gammopathy of unknown significance (MGUS).

If polycythaemia is secondary to a non-malignant condition, accept.
",,,"Haemoglobin Disorders
Immune Thrombocytopenia Pupura
Polycythaemia
",
,Haemochromatosis,"Haemochromatosis (or hemochromatosis) type 1 (also HFE hereditary haemochromatosis or HFE-related hereditary haemochromatosis) is a hereditary disease characterized by excessive intestinal absorption of dietary iron resulting in a pathological increase in total body iron stores. Excess iron accumulates in tissues and organs disrupting their normal function.
The late effects of iron accumulation can be wholly prevented by periodic phlebotomies (by venesection) comparable in volume to blood donations
",Accept,Iron overload,,,
,Haemoglobin Disorders,,Accept,,,"Sickle-cell disease
Thalassaemia
Transfusion
",
,Haemolytic Anaemia,,"See:
 a) Is there an entry for the condition?
 b) If not refer to Medical Director",anaemia,,"Autoimmune disorder
G6PD Deficiency
Haemoglobin Disorders
Hereditary Elliptocytosis
Hereditary Spherocytosis
Pyruvate Kinase Deficiency
Transfusion
",
,Haemophilus Influenzae Type B Immunisation,,,,,Immunisation – Non-live,
,"Hand, Foot and Mouth Disease","Hand, foot and mouth disease (HFMD) is a human syndrome caused by intestinal viruses of the picornaviridae family.
It usually affects infants and children, and is quite common. It is moderately contagious but self-limiting. There is no specific treatment and only the symptoms are treated. 
",Accept,,HFMD,Infection – Acute,
,Hashimoto’s Disease,,,,,Thyroid disease,
,Hendra Virus (Henipavirus):,"Henipavirus is a genus of the family Paramyxoviridae, order Mononegavirales containing three established species: Hendra virus, Nipah virus and Cedar Virus. The henipaviruses are naturally harboured by Pteropid fruit bats (flying foxes) and some microbat species. Henipavirus is characterised by a large genome, a wide host range, and their recent emergence as zoonotic pathogens capable of causing illness and death in domestic animals and humans.
Hendra virus:
(originally Equine morbillivirus) was discovered in September 1994 when it caused the deaths of thirteen horses, and a trainer at a training complex in Hendra, a suburb of Brisbane in Queensland, Australia. As of September 2012, a total of thirty-nine outbreaks of Hendra virus have occurred in Australia, all involving infection of horses. As a result of these events, seventy-six horses have died or been euthanised, with a further four having died or been euthanised as a result of possible hendra infection. Four of these outbreaks have spread to humans as a result of direct contact with infected horses.
There have been two human deaths. A horse trainer, Victory ('Vic') Rail, and a stable hand were involved in nursing the first outbreak in horses, and both fell ill with an influenza-like illness within one week of the first horse’s death. The stable hand recovered while Mr Rail died of respiratory and renal failure. The source of the virus was most likely frothy nasal discharge from the horse. A second outbreak occurred in August 1994 in Mackay resulting in the deaths of two horses and their owner who assisted in necropsies of the horses and within three weeks was admitted to hospital suffering from meningitis. He recovered, but 14 months later developed neurologic signs and died.
Case fatality rate in humans is 60% and in horses 75%. There is no evidence of transmission to humans directly from bats, and, as such it appears that human infection only occurs via an intermediate host, a horse.
Nipah virus:
was identified in April 1999, when it caused an outbreak of neurological and respiratory disease on pig farms in peninsular Malaysia, resulting in 257 human cases, including 105 human deaths and the culling of one million pigs. Symptoms of infection from the Malaysian outbreak were primarily encephalitic in humans and respiratory in pigs. Later outbreaks have caused respiratory illness in humans, increasing the likelihood of human-to-human transmission and indicating the existence of more dangerous strains of the virus. Based on seroprevalence data and virus isolations, the primary reservoir for Nipah virus was identified as Pteropid fruit bats.
Cedar Virus:
 (CedPV) was first identified in pteropid urine during work on Hendra virus undertaken in Queensland in 2009. Although the virus is reported to be very similar to both Hendra and Nipah, it does not cause illness in laboratory animals.",Must not donate,,,,
,Hepatitis,,"Note:
Hepatitis has a number of causes including infection and hypersensitivity to drugs. Of concern is Viral Hepatitis.
Accept If fully recovered from non-viral hepatitis
",,,"Hepatitis A
Hepatitis B
Hepatitis C
Hepatitis E
",
,Hepatitis A - Infection,"Hepatitis A (formerly known as infectious hepatitis) is an acute infectious disease of the liver caused by the hepatitis A virus (HAV), an RNA virus, usually spread by the faecal-oral route; transmitted person-to-person by ingestion of contaminated food or water or through direct contact with an infectious person.
HAV infection produces a self-limited disease that does not result in chronic infection or chronic liver disease. However, 10–15% of patients might experience a relapse of symptoms during the 6 months after acute illness.
",Must not donate if less than 12 months from recovery,Hep A,HAV,,
,Hepatitis A – Sexual Partner of Confirmed Case,"There is a risk of transmitting the disease through sexual activity. The 12 month exclusion allows any 
infection to run its course and for any risk of passing the illness on through donation to have passed
","Must not donate if less than 12 months from recovery of partner
Accept if donor is shown to be immune to Hepatitis A (immunised)
",Hep A,HAV,,
,Hepatitis A – Person Sharing Home,,"Must not donate if less than 12 months from recovery of last affected person in the home.
Accept if donor is shown to be immune to Hepatitis A (immunised)
",Hep A,HAV,,
,Hepatitis A – Immunisation,"There are two types of vaccines: one type contains inactivated Hepatitis A virus, the other contains a live but attenuated virus. Both types stimulate active immunity against a future infection – the type used in Australia and New Zealand is the inactivated type.
May be combined with Hepatitis B immunisation
","Accept
Immunisation – Non-live
",,HAV,Immunisation – Non-live,
,Hepatitis B - Infection,"Hepatitis B is an infectious inflammatory illness of the liver caused by the hepatitis B virus (HBV).  Originally known as ""serum hepatitis"", the disease has caused epidemics in parts of Asia and Africa, and it is endemic in China. About a third of the world population has been infected at one point in their lives.
The virus is transmitted by exposure to infectious blood or body fluids such as semen and vaginal fluids, while viral DNA has been detected in the saliva, tears, and urine of chronic carriers. Perinatal infection is a major route of infection in endemic (mainly developing) countries. Other risk factors for developing HBV infection include working in a healthcare setting, transfusions, dialysis, acupuncture, tattooing, sharing razors or toothbrushes with an infected person, travel in countries where it is endemic, and residence in an institution. However, hepatitis B viruses cannot be spread by holding hands, sharing eating utensils or drinking glasses, kissing, hugging, coughing, sneezing, or breastfeeding.
The hepatitis B virus is highly infectious (50 to 100 times more infectious than HIV) and there is evidence (2 reports) of transmission by corneal transplantation
",Must not donate if active infection,Hep B,HBV,,
,Hepatitis B – History of Infection,,"If more than 12 months from recovery, obtain history and analyse blood samples
Accept if:
a)        HBsAg negative, HBcAb negative
or
b)        HBsAg negative, HBcAb positive, HBV-DNA negative* and HBsAb documented at more than 100 mIU/ml at some time (i.e. past infection with immunity)
*HBV-DNA negative is required if HBcAb positive to exclude for Occult HBV.
",Hep B,HBV,,
,Hepatitis B – Current Sexual Partners of infected Individuals,Partners of an individual with hepatitis B infection may have been vaccinated against hepatitis B infection. If negative for HBcAb there is no requirement for a HBsAb result (although this may clarify immune status).,"Must not donate
Accept if:
a)        HBsAg negative, HBcAb positive, HBV-DNA negative and HBsAb documented at more than 100 mIU/ml at some time (i.e. past infection with immunity)
or
b)        if more than 4 months from the date the donor was immunised and HBsAg negative, HBcAb negative

*HBV-DNA negative is required if HBcAb positive to exclude for Occult HBV.
The TGA mandates 12 month exclusion for increased risk sexual practice but does not define it
",Hep B,HBV,,
,Hepatitis B – Former Sexual Partners of Infected Individuals,,"Accept if:
1.        If less than 4 months since last sexual contact:
a)        HBsAg negative, HBcAb positive, HBV-DNA negative and HBsAb documented at more than 100 mIU/ml at some time (i.e. past infection with immunity)
or 
b)        if more than 12 months from the date the donor was immunised and HBsAg negative, HBcAb negative

2.        If more than six months since last sexual contact:
a)        HBsAg negative, HBcAb positive, HBV-DNA negative and HBsAb documented at more than 100 mIU/ml (past infection with immunity)
or
b)        HBsAg negative, HBcAb negative (no evidence of infection)

*HBV-DNA negative is required if HBcAb positive to exclude for Occult HBV.
The TGA mandates 12 month exclusion for increased risk sexual practice but does not define it
",Hep B,HBV,,
,Hepatitis B – Current or Former Sexual Partners of Person who has recovered from Hepatitis B,,"Accept if:
More than 12 months from the date the partner was stated to have recovered from/cleared HBV
or
More than 12 months from the date that the donor received the first dose of a course of HBV vaccine

AND
a)        HBsAg negative, HBcAb negative
or
b)        HBsAg negative, HBcAb positive, HBV-DNA negative and HBsAb documented at more than 100 mIU/ml at some time (ie. past infection with immunity
",,HBV,,
,Hepatitis B – Person Sharing Home,,"Accept if:
1.        If still sharing or less than six months since last sharing
a)        HBsAg negative, HBcAb positive, HBV-DNA negative and HBsAb documented at more than 100 mIU/ml at some time (ie. past infection with immunity)
or
b)        if more than 12 months from the date the donor was immunised and HBsAg negative, HBcAb negative
*HBV-DNA negative is required if HBcAb positive to exclude for Occult HBV.
2.        If more than six months since last sharing:
a)        HBsAg negative, HBcAb positive, HBV-DNA negative and HBsAb documented at more than 100 mIU/ml (past infection with immunity)
or
b)        HBsAg negative, HBcAb negative (no evidence of infection)
*HBV-DNA negative is required if HBcAb positive to exclude for Occult HBV.
",Hep B,HBV,,
,Hepatitis B – Immunisation,Sensitive assays for HBsAg may be positive following recent immunisation. Full screening for Hepatitis may be required,Accept,,HBV,Immunisation – Non-live,
,Hepatitis C,"Hepatitis C is an infectious disease affecting primarily the liver, caused by the hepatitis C virus (HCV). The infection is often asymptomatic, but chronic infection can lead to scarring of the liver and ultimately to cirrhosis, which is generally apparent after many years. In some cases, those with cirrhosis will go on to develop liver failure or liver cancer (hepatoma). It has also been linked with malignant lymphomas and autoimmune disease. 
Individuals who are chronically infected are sometimes referred to as carriers. They often have no, or minimal, symptoms associated with their infection. Many cases are linked to previous drug use, and before the introduction of HCV screening of blood, to transfusion.
It has the longest “window period” for testing of the mandatory tests (HIV, HBV, HCV).
It is not considered contagious and is usually only spread through a direct blood to blood route. There is no evidence HCV can be spread by corneal transplantation
",Must not donate,Hep C,HCV,,
,Hepatitis C – Current sexual partners of HCV positive individuals,"There is sufficient evidence to establish that individuals who have a sustained virological response to treatment for Hepatitis C infection (defined as remaining hepatits C RNA negative six months after cessation of treatment) are likely to have been cured and the chance of relapse is less than 1%.
The very low risk of relapse combined with the rarity of sexual transmission of HCV means the transmission from a successfully treated individual to a sexual partner is most unlikely
","Must not donate
Accept if the donor’s HCV positive partner has been successfully treated for Hepatitis C infection and has been free of therapy for 12 months.
",Hep C,HCV,,
,Hepatitis C – Person Sharing Home,Hepatitis C is neither contagious nor spread by faecal-oral route. It is usually only spread through a direct blood to blood route. For these reasons household contacts do not need to be deferred,Accept,Hep C,HCV,,
,Hepatitis E,"Hepatitis E is a viral hepatitis (liver inflammation) caused by infection with a virus called hepatitis E virus (HEV). It is spread by the faecal-oral route; transmitted person-to-person by ingestion of contaminated food or water.
Mortality rates are generally low for hepatitis E  and it tends to be a ""self-limiting"" disease. However, during the duration of the infection (usually several weeks), the disease severely impairs a person’s ability to work, care for family members, and obtain food. Hepatitis E occasionally develops into an acute, severe liver disease, and is fatal in about 2% of all cases. Clinically, it is comparable to hepatitis A
",Must not donate if less than 12 months from recovery,Hep E,HEV,,
,Hepatitis E – Sexual Partner of Confirmed Case,There is a small risk of transmitting the disease through sexual activity. The 12 month exclusion allows any infection to run its course and for any risk of passing the illness on through donation to have passed,Must not donate if less than 12 months from recovery of partner,Hep E,HEV,,
,Hepatitis E – Person Sharing Home,,"Must not donate if less than 12 months from recovery of last affected person in the home.
Accept if donor is shown to be immune to Hepatitis A (immunised)
",Hep E,,,
,Hereditary Elliptocytosis,"Hereditary elliptocytosis, also known as ovalocytosis, is an inherited blood disorder in which an abnormally large number of the patient's erythrocytes are elliptical rather than the typical biconcave disc shape",Accept,Ovalocytosis,,,
,Hereditary Spherocytosis,"Hereditary spherocytosis (also known as Minkowski–Chauffard syndrome) is a genetic disorder characterised by the production of red blood cells that are sphere-shaped rather than bi-concave disk shaped, and therefore more prone to haemolysis. It is the most common disorder of the red cell membrane, affecting 1 in 2,000 people of Northern European ancestry",Accept,Minkowski–Chauffard syndrome,HS,,
,Herpes – Genital,,Accept if lesions are healing and there is no history of other Sexually Transmitted Diseases,Herpes,,Sexually Transmitted Diseases,
,"Herpes – Ocular, Simplex and Zoster Infection","Simplex
Caused by HSV-1, ocular herpes is a common, recurrent viral infection affecting the eyes.  Ocular herpes of the eye can be transmitted through close contact with an infected person whose virus is active or through self-contact and contamination during an active herpes infection (such as a cold sore of the lip).
Ranging from a simple infection to a condition that can possibly cause blindness, there are several forms of ocular herpes:
1.        Herpes keratitis is the most common form. It generally only affects the epithelium and usually heals without scarring.
2.        Stromal keratitis occurs when the infection goes deeper into the layers of the cornea. This can lead to scarring, loss of vision and, occasionally, blindness. Stromal keratitis is thought to be caused by a late immune response to the original infection. Although the condition is rare, the NEI reports that stromal keratitis is the leading cause of corneal scarring that subsequently causes blindness in the United States.
3.        Iridocyclitis is a serious form where the iris and surrounding tissues inside the eye become inflamed, causing severe sensitivity to light, blurred vision, pain and red eyes. 
4.        Herpes retinitis is when infection occurs in the retina
Zoster
Herpes zoster ophthalmicus occurs when the varicella-zoster virus is reactivated in the ophthalmic division of the trigeminal nerve. It represents up to one fourth of all cases of herpes zoster. Most patients present with a periorbital vesicular rash distributed according to the affected dermatome. A minority of patients may also develop conjunctivitis, keratitis, uveitis, and ocular cranial-nerve palsies. Permanent sequelae of ophthalmic zoster infection may include chronic ocular inflammation, loss of vision, and debilitating pain.
","Must not donate if active or past infection of eyes.
",,"HSV, VZV",,
,Herpes – Oral,"Oral herpes is commonly referred to as “cold sores” and “fever blisters” and is typically caused by herpes simplex virus type 1 (HSV-1; oral HSV-2 is rare and is more commonly associated with genital herpes. More than 50 percent of the adult population has oral herpes and more than 80% of the population are infected with HSV-1. Oral herpes is transmitted through direct contact between the contagious area and broken skin (a cut or break) and mucous membrane tissue (such as the mouth or genitals). Most people contract the virus when they are children by receiving a kiss from a friend or relative.
While symptoms of oral herpes most commonly appear on or around the lips, oral herpes is not always limited to this area. For some, symptoms may appear between the upper lip, on or inside the nose, or on the chin or cheek. In these instances, herpes is referred to as oral-facial herpes.
",Accept,,"HSV-1, HSV-2",,
,Herpes Simplex,,,"Cold sores
Fever blisters

",,"Herpes – Genital
Herpes – Oral
Herpes – Ocular
",
,Herpes Zoster,,,Shingles,,"Infection – Acute
Infectious Disease – Contact with
Herpes – Ocular
",
,HIV - Infection,,Must not donate,AIDS,,AIDS,
,HIV- Current Sexual Partners of Confirmed Case,,Must not donate,AIDS,,,
,HIV- Former Sexual Partners of Confirmed Case,,Must not donate if less than 6 months from last sexual contact (or 4 months if HCV NAT performed),AIDS,,,
,Hodgkin Lymphoma (Disease),"Hodgkin's lymphoma is characterized by the orderly spread of disease from one lymph node group to another and by the development of systemic symptoms with advanced disease. When Hodgkins cells are examined microscopically, multinucleated Reed–Sternberg cells (RS cells) are the characteristic histopathologic finding.
The cause is unknown but probably multifactorial. Risk factors include: male, family history, history of infection with Epstein-Barr virus, weakened immune system including AIDS, prolonged use of human growth hormone, exposure to exotoxins such as Agent Orange
",Must not donate,Hodgkins disease,HL,Lymphoma,
,Homosexual – Female,,Accept,"Gay
Lesbian
",,,
,Homosexual – Male,"Men who have had sex with other men have a higher chance of having an undiagnosed communicable disease infection. Therefore on an epidemiological population basis, male to male sex is considered high-risk behaviour.
If one considers having a good knowledge of an individual’s behaviour, then male to male sex may not be considered high-risk behaviour (e.g. in the instance of a long-term monogamous relationship).
The suggested six month exclusion period is consistent with that of other high-risk for infectious disease exclusions, based on “worse-case scenario” of hepatitis and HIV window periods. 6 months or 4 months if HCV NAT performed
","Do not donate if any oral or anal sex with another man in the past six months (4 months with HCV NAT)
Accept homosexuality in the absence of male-to-male sex 
The TGA mandates 12 month exclusion for increased risk sexual practice but does not define it
","Gay

",,,
